Makeup_Type,Brand,Product_Name,Shade_Name,Skintone,Skintone_Category,Undertone,Images,,,Price
foundation,Issy,Active Foundation,YL2.5,light medium,medium,warm,https://drive.google.com/file/d/1uEO2RZtMeBvFeBs1pTRHiwcbgcAU8T5g/view?usp=sharing,,,699
foundation,Issy,Active Foundation,NM3,medium,medium,neutral,https://drive.google.com/file/d/1BI_3eNq-3I4fuN1Z_Pwoce2FhTPK9lXY/view?usp=sharing,,,699
foundation,Issy,Active Foundation,NM3.5,medium tan,medium,neutral,https://drive.google.com/file/d/1RBxdS-f0U7VL_OHrBY3EGfSeQirvdink/view?usp=sharing,,,699
foundation,Issy,Active Foundation,YM3.5,medium tan,medium,warm,https://drive.google.com/file/d/1im3VRDkf0ezIjFb9-cc3UUdqW67pwd3a/view?usp=sharing,,,699
foundation,Issy,Active Foundation,YT4.5,tan deep,dark,warm,https://drive.google.com/file/d/19cJ4N_ovNGBqa0t2-NwBt8HHo5V2IdW-/view?usp=sharing,,,699
foundation,Issy,Active Foundation,NT4,tan,dark,neutral,https://drive.google.com/file/d/1Lom6tsHT8nOEB8kdcNTfz0Fvj9uLIRaw/view?usp=sharing,,,699
foundation,Issy,Active Foundation,NT 4.5,tan deep,dark,neutral,https://drive.google.com/file/d/1qJxR3b79Ied1Rnpa93eq5B3S9mIYGzsS/view?usp=sharing,,,699
foundation,Issy,Active Foundation,ND5,deep,dark,neutral,https://drive.google.com/file/d/1JOCs7v4IVtjME2PreDRDSbBkMz9PEHQX/view?usp=sharing,,,699
foundation,Issy,Active Foundation,YD5,deep,dark,warm,https://drive.google.com/file/d/1CcOLb0AQDW5hUid6XXgiUuiXsjF-SRn_/view?usp=sharing,,,699
skin stick,Issy,Active Skin Stick,Vanillé,fair light,light,warm,https://drive.google.com/file/d/1E4B1R-xHVat0fiCUAONmzh3vMTURS9Hq/view?usp=sharing,,,599
skin stick,Issy,Active Skin Stick,Epsom,tan,dark,neutral,https://drive.google.com/file/d/1NPtBb3gm8UZwlemZQonL2i6E9u6rOErC/view?usp=sharing,,,599
skin stick,Issy,Active Skin Stick,Bisque,fair light,dark,neutral,https://drive.google.com/file/d/1W1l4oGRg63ylB3KOSaHa2wagaMiT5NpB/view?usp=sharing,,,599
skin stick,Issy,Active Skin Stick,Sand,light medium,medium,warm,https://drive.google.com/file/d/1RfLUGtVoOUl32YyqyfL4OSyAwabLv_jI/view?usp=sharing,,,599
skin stick,Issy,Active Skin Stick,Saddle,deep,dark,neutral,https://drive.google.com/file/d/1lcUsb3gWvfN3GDPHnViEZfHHembNwS7g/view?usp=sharing,,,599
powder,Issy,True Flex Perfecting Powder,very fair,very fair,light,,https://drive.google.com/file/d/1fUrWhdW5Qt_AmczPWT_MGEwd272wOcmm/view?usp=sharing,,,499
powder,Issy,True Flex Perfecting Powder,fair/light,fair/light,light,,https://drive.google.com/file/d/150p9a5lpwqcIA0ntVo-lD_u1rqQxuVdV/view?usp=sharing,,,499
