Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link
Lip Balm,GRWM Cosmetics,Lip Maxx - Highly Nourishing Lip Balm,Tto‑Tto,Neutral muted nude rose,high-shine,Neutral,,https://drive.google.com/file/d/1p93jAtRQPXTfVHwgTqFjtpEvkNNmnVtd/view?usp=drive_link
Lip Balm,GRWM Cosmetics,Lip Maxx - Highly Nourishing Lip Balm,Confetti,Cool dusty mauve,high-shine,Cool,,https://drive.google.com/file/d/1QOuWVYyvydxTMLyh9cOcFz6G8pxsL--N/view?usp=drive_link
Lip Balm,GRWM Cosmetics,Lip Maxx - Highly Nourishing Lip Balm,Disco Ball (Limited),Clear with fine shimmers,high-shine,Neutral,,https://drive.google.com/file/d/13US8VpiPMfiVE7fUgA3LDvznrEaH7Dzk/view?usp=drive_link
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,Strawberry,Warm berry pink,glossy,Warm,,https://drive.google.com/file/d/1vfaMODzeHdoUwLgr5hwASn6XVptLU1CD/view?usp=drive_link
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,Upside Brown,Autumn brick red,glossy,Warm,,https://drive.google.com/file/d/1137td0AI2xC60fLCXGQnJWcmotwzxaOC/view?usp=drive_link
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,24/7,Rose mauve,glossy,"Neutral, Cool",,https://drive.google.com/file/d/1JLkUEY64na_jWwjIZR6Rst9mUxzv8UEs/view?usp=drive_link
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,90’s Brown,Terracotta brown,glossy,Warm,,https://drive.google.com/file/d/1JvOCCGqWCRcfCOj_YXXXN7U1we8IPZpT/view?usp=drive_link
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,Not Basic,Medium berry,glossy,Cool,,https://drive.google.com/file/d/1Shv11lUyOk5Rg18Cm4nLolnEZJZx1lEr/view?usp=sharing
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,Aye (NEW),Rosewood mauve,glossy,Neutral,,https://drive.google.com/file/d/1uw1-UeRcdjcDrHo13fFs0JvNYtjDFtGj/view?usp=sharing
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,Yumi (NEW),Deep rose,glossy,"Cool, Neutral",,https://drive.google.com/file/d/1eiuPJPYyjSsiZ18_C3ByG_-MxF85k8to/view?usp=sharing
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,Ribbon (NEW),Toasted mauve,glossy,"Neutral, Warm",,https://drive.google.com/file/d/1TjMMS3X1SzGyLIL3Xhq56filaxbQCFde/view?usp=sharing
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,Ballerina (NEW),Muted almond pink,glossy,Neutral,,https://drive.google.com/file/d/18drNyRcGmWcugWBhRO1DD1KcBPP1sNa7/view?usp=sharing
Lip Tint,GRWM Cosmetics,Tinted Lip Glaze - Glossy Lip Stain,Baywatch (NEW),Neutral medium red,glossy,Neutral,,https://drive.google.com/file/d/1xxXns_1qr8CWGV5AwGPgehrNU_pk1hxu/view?usp=sharing
