Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link,,,,,,,,,Price
powder blush,Issy,Powder Blush Insert,Puff,A Soft Baby Pink,natural,Cool,,https://drive.google.com/file/d/1mJh7EVJfOIMQZo3sn7Bgq-4RDNRcU0iN/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Nasty,A Malicious Berry,natural,Cool,,https://drive.google.com/file/d/1EL8sYJfR1mlbEQ9ylpqL1tSDJtDzESUn/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Heated,A Warm Watermelon,natural,Warm,,https://drive.google.com/file/d/1Dp61d1snA-8QckvI2h0OOv1Nb0jl-T0O/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Flesh,A Flushed Peach,natural,Warm,,https://drive.google.com/file/d/1lwMaNTxB7REkeWLkXfmt2t5VjLP6hvJQ/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Erotic,A Rosy Nude,natural,Neutral,,https://drive.google.com/file/d/1ajhtm98ccNj-ddm0dp8cd_yP_sWghhpA/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Sunburn,A Toasty Coral,natural,Warm,,https://drive.google.com/file/d/1vuPZdfJJNUD8hTf5DlidZ2JZkzq8u-bk/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Affair,A Rosy Peach,natural,"Warm, Neutral",,https://drive.google.com/file/d/1M6EDuc_29_464GbtgDvqMZzxqjq4lUhk/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Fling,A Gentle Brown,natural,"Neutral, Warm",,https://drive.google.com/file/d/1Xmc72zCDuZGZPVC_x-c5foHJ5bZ9EkUh/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Temptation,A Coral Tease,natural,Warm,,https://drive.google.com/file/d/1lo29i0ybN26bXM5MdnvuyZFk5hZdQ8GT/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Devoted,An Angelic Peach,natural,Warm,,https://drive.google.com/file/d/17rriOUG7qJCYw1Yq806AMOMRdDzNutFf/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Intimate,A Dainty Nude,natural,Neutral,,https://drive.google.com/file/d/1hdymyLdBGWA723d0QbMDVInwWEbASp40/view?usp=drive_link,,,,,,,,,249
powder blush,Issy,Powder Blush Insert,Aroused,A Pink Flush,natural,"Cool, Neutral",,https://drive.google.com/file/d/19f0cyDq2C8aN6dopK3vWfZZrvF_1dplR/view?usp=drive_link,,,,,,,,,249
cream bronzer,Issy,Creme Cheek Bronzer,Toast,A Soft Clay Bronze,natural,Warm,,https://drive.google.com/file/d/1_kIJi94D01LvRwMksWCrxlMT9lm2rEh_/view?usp=drive_link,,,,,,,,,349
cream bronzer,Issy,Creme Cheek Bronzer,Molten,A Medium Umber Bronze,natural,Neutral,,https://drive.google.com/file/d/1to0XObFJR1yDFFOMsjfGqqfSgGpZCUhk/view?usp=drive_link,,,,,,,,,349
cream bronzer,Issy,Creme Cheek Bronzer,Torrid,A Medium Golden Bronze,natural,Warm,,https://drive.google.com/file/d/1FOCcTRXqhb-OX2nZUzYwBdHXFJJ5XNfH/view?usp=drive_link,,,,,,,,,349
