Makeup_Type,Brand,Product_Name,Shade_Name,Shade_Description,Finish,Undertone,Image,Image Link,,,,,,,Price
eyeshadow,Issy,Pressed Shadow Single,Fever,A Lustrous Scarlet,shimmer,Warm,,https://drive.google.com/file/d/11-piTXj_t25ST2XRR38pPzIaHruGD42L/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Pressed Shadow Single,Sleet, A lustrous Limestone,shimmer,"Cool, Neutral",,https://drive.google.com/file/d/1yy5HFTq5mjANreitgcxVAvxB8eSOMDKV/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Pressed Shadow Single,Fetish,A Sparkly Firework,shimmer,Warm,,https://drive.google.com/file/d/1gWBvc6T4ESxO8s-O0RNFAgLB7ZIRM7ZC/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Pressed Shadow Single,Showgirl,A Imperial Violet,shimmer,Cool,,https://drive.google.com/file/d/1SL6f5ptXxkb-1seL5_pJL920luDa6to6/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Pressed Shadow Single,Mist, A Metalic CLoud,shimmer,"Cool, Neutral",,https://drive.google.com/file/d/1bvIQUW_eTUzlBUz90VMbvIUY76c20TW8/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Pressed Shadow Single,Dune,A Shimmery Earth,shimmer,Warm,,https://drive.google.com/file/d/1SXMCEoqmHjfOHzSJ4g5L7D0o8nTvr4Z1/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Pressed Shadow Single,Inferno,A Metallic Dark Brown,shimmer,"Warm, Neutral",,https://drive.google.com/file/d/1OhIB7ubK0FPZWZQbmYU3hZGCj4YFJ10-/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,BLANC,A WHITE STARCH,bright,Neutral,,https://drive.google.com/file/d/1Jcjyfcyoqzy9zNH3f7iSvRz-61r4CRXG/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,SUBDUE,A BEIGE SSANDSTONE,bright,"Warm, Neutral",,https://drive.google.com/file/d/1_HU3V_aHR6_dXbQ_QREQXye-rIBp7sCJ/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,ARSENIC,A TOXIC GREEN,bright,Cool,,https://drive.google.com/file/d/1JZKIS0qdXFyVuQy9uY3roWmpyQDTZAeG/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,SQUIRT,A CERULEAN SHOWER,bright,Cool,,https://drive.google.com/file/d/1F1VFIOcf38lFkxzzhIfTuLY88nId6ZuM/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,EDGY,A RED ALERT,bright,Warm,,https://drive.google.com/file/d/12TvvZnyhSO2Ok9lJ2XA1o-5CV9fVPFdC/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,HAZARD,A PERILOUS YELLOW,bright,Warm,,https://drive.google.com/file/d/10YiZOrlOCgHtT77rySqXdO0uTiftAsFi/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,ULTRAVIOLET,AN INDIGO DYE,bright,Cool,,https://drive.google.com/file/d/19-jq9es1G0dPMWiuF3vNiQSczBYpfVPU/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,PLASTIC,AN ECCENTRIC PINK,bright,Cool,,https://drive.google.com/file/d/1RV112Gl2X4pupUj0jAFnxYn-dtvlHrBy/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,SHOCK,A FERAL MAGENTA,bright,Cool,,https://drive.google.com/file/d/17WCT4IIJQNyAVokNtPMkDoxmefXlsefy/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,CREATE,AN OFFBEAT PURPLE,bright,Cool,,https://drive.google.com/file/d/1P3015DD_2J2LyHmyIp6nw9UEU1VrI4k6/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,NIGHTSHADE,A POISONOUS VIOLET,bright,Cool,,https://drive.google.com/file/d/1vmYStHMip-ogqF6LP-EIvt6_Q3JA73Lx/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,LUREX,A METALLIC YARN,chromes,Neutral,,https://drive.google.com/file/d/1k2obQnt4rE9RdkxY2VTn22Ed0cxGC9De/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,FOOL'S GOLD,AN IRIDESCENT MINERAL,chromes,Warm,,https://drive.google.com/file/d/1tZGKNbYNBWC6AM38AajHHCK7HrCfT5sT/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,DELIRIUM,A PINK FLARE,chromes,Cool,,https://drive.google.com/file/d/1D7VJ_NReaVNqJCQGDB7FX-CFcf0lY5mp/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,METAMORPHOSIS,A HOLOGRAPHIC BUTTERFLY,chromes,Neutral,,https://drive.google.com/file/d/1s6pEDlSgBMwB8ryNJJQ9Fyi1c9iQKUxZ/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,ENAMOUR,A FEVERISH ROSE QUARTZ,chromes,Cool,,https://drive.google.com/file/d/1T601AKmR0e2U_HI3fMAtuE4_ucFv6k-4/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,MONARCH,A GILDED CROWN,chromes,Warm,,https://drive.google.com/file/d/1bGbulhs-jazhuQQxT2lId7Dwm3SG5Tdc/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,PATINA,AN OXIDIXED BRONZE,chromes,Warm,,https://drive.google.com/file/d/1MnEI1gPfv0WrkmGCbn6W_ypk0lhJXA68/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,CAHAMELEON,A SHIFTING CAMOUFLAGE,chromes,Neutral,,https://drive.google.com/file/d/10hQdHyC6j2XmqJ0EBXlEMOnKa2iGEihs/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,ÄBSiNTHE,A GREEN FAIRY,chromes,Cool,,https://drive.google.com/file/d/1Q1Lyw-ipSgf0mDdD2vvHZsj6s68diFbl/view?usp=drive_link,,,,,,,149
eyeshadow,Issy,Issy x Slo Lopez Pressed Shadow Single ,ELECTRONICA,MAGNETIC COBALT,chromes,Cool,,https://drive.google.com/file/d/1cUedtDVrTK35UILNRugT5lteppHbNE65/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Goal‑Getter,cool wine red,velvet matte,Cool,,https://drive.google.com/file/d/1CD2rGSvL7ZdshRHkMdQmznGpFDXaUL91/view?usp=drive_link,,,,,,,149
eyeshadow,GRWM Cosmetics,Face Card Shadowplay - Velvet Matte Eyeshadow,Corsage,neutral medium apricot,velvet matte,Neutral,,https://drive.google.com/file/d/1TREpziHpkVzGvDFqQmFjGLitTdbmZSOX/view?usp=drive_link,,,,,,,149
